ce,this/that
celle,"that one (fem.)"
celui,"that one (masc.)"
cent,hundred
centimes,cents
centre,"centre, center"
cents,hundreds
cereales,cereals
certainement,certainly
ces,these/those
cette,this/that (fem.)
chacun,each
chaise,chair
chaises,chairs
chaleur,heat
chaleureuse,warm (fem.)
chaleureusement,warmly
chaleureux,warm
chambre,"room, bedroom"
champignon,mushroom
chance,luck
chant,song
chanter,to sing
chapeau,hat
chaque,each/every
charmes,charms
chat,cat
chateau,castle
chaud,"hot, warm"
chemin,"path, way"
cheminees,chimneys
cheminées,chimneys
chene,oak
cher,"dear, expensive"
cherche,"search (1st person)"
chercher,to search
chere,"dear (fem.)"
cheveux,hair
chez,at the home of
chien,dog
chocolat,chocolate
choix,choice
chose,thing
choses,things
château,castle
chère,"dear (fem.)"
chêne,oak
ci,here (suffix)
ciel,sky
cinema,cinema
cinq,five
cinquante,fifty
cinquieme,fifth
cinquième,fifth
cinéma,cinema
circule,moves around
clair,light (colour)
classique,classic
classiques,classics
cle,key
client,customer
cliente,customer (fem.)
cloches,bells
clé,key
coin,corner
colorees,coloured (fem.)
colores,coloured (plural)
colorées,coloured (fem.)
colorés,coloured (plural)
comme,like/as
commence,begins
commencent,begin (3rd plural)
commencer,to begin
comment,how
complique,complicated
compliqué,complicated
comprendre,to understand
compte,counts
comptoir,counter
confortable,comfortable
confortables,comfortable (plural)
connaissent,know (3rd plural)
connait,knows
connaît,knows
conseil,advice
construisent,build (3rd plural)
contenant,containing
content,happy/satisfied
contre,against
conversation,conversation
conversations,conversations
convivial,friendly
copain,friend/buddy (male)
copine,friend/buddy (female)
corbeille,basket
corse,full-bodied
corsé,full-bodied
cote,"side, next to"
couleur,colour
couleurs,colours
coup,"blow, hit"
coups,blows
courir,to run
courrier,mail/post
court,short
cousin,cousin (male)
cousine,cousin (female)
coussin,cushion
couter,to cost
couverts,covered
couverture,"cover, blanket"
couvre,covers
coûter,to cost
craquant,crunchy
craquants,crunchy (plural)
creme,cream
crissent,crunch (3rd plural)
croissant,croissant
croissants,croissants
croquez,bite (imperative)
croustillant,crunchy
croustillante,crunchy (fem.)
crème,cream
cuisine,"kitchen, cooking"
cuisinier,cook
céréales,cereals
côté,"side, next to"
cœur,heart
d'accord,agreed/okay
dame,lady
dans,in
danse,dance
date,date
de,of/from
deborde,overflows
debout,standing
decoree,decorated (fem.)
defauts,flaws
deja,already
dejeuner,"lunch, to have lunch"
delice,delight
delicieux,delicious
demain,tomorrow
demande,asks
demander,to ask
demenager,to move house
demi,half
dent,tooth
depuis,since
derriere,behind
derrière,behind
des,some
desactivee,deactivated (fem.)
desalterent,quench thirst (3rd plural)
designant,pointing to
desole,sorry
dessert,dessert
dessinees,drawn (fem. plural)
dessinées,drawn (fem. plural)
dessus,on top
deux,two
devant,in front of
devine,guesses
devoir,"to have to, duty"
dictionnaire,dictionary
different,different
differente,different (fem.)
différent,different
différente,different (fem.)
dimanche,Sunday
diner,"dinner, to have dinner"
dira,will say
dire,to say
discretement,discreetly
discrètement,discreetly
dispersee,dispersed (fem.)
dispersée,dispersed (fem.)
dit,"said, says"
dix,ten
doit,must
donc,"so, therefore"
donnant,giving
donne,gives
dore,golden
doree,golden (fem.)
dorees,golden (plural fem.)
dores,golden (plural)
dormir,to sleep
doré,golden
dorée,golden (fem.)
dorées,golden (plural fem.)
dorés,golden (plural)
double-cliquez,double-click
doucement,"gently, softly"
douillet,cosy
doux,"soft, sweet"
dresse,stands up
droit,"right, straight"
drole,funny
dru,thick/heavy
drôle,funny
du,"of the, some"
dès,from
déborde,overflows
décorée,decorated (fem.)
défauts,flaws
déjeuner,"lunch, to have lunch"
déjà,already
délice,delight
délicieux,delicious
déménager,to move house
désactivée,deactivated (fem.)
désaltèrent,quench thirst (3rd plural)
désignant,pointing to
désolé,sorry
dîner,"dinner, to have dinner"
eau,water
echarpe,scarf
eclair,"éclair, lightning"
eclaire,lights up
eclairs,éclairs
eclatent,burst (3rd plural)
ecole,school
ecoute,listens
ecouter,to listen
ecrire,to write
efficace,efficient
eglise,church
eiffel,Eiffel
elegant,elegant
elegante,elegant (fem.)
elle,she/her
elles,they (fem.)
embouteillages,traffic jams
emmener,to take along
empilees,stacked (fem.)
empilées,stacked (fem.)
emplit,fills
emportez,take away (imperative)
en,"in, of it"
encadrees,framed (fem.)
encadrées,framed (fem.)
encore,"again, still"
endroit,place
enfant,child
enfants,children
enfin,finally
enseigne,sign/shop sign
ensemble,together
ensuite,then/next
entendre,to hear
entourent,surround (3rd plural)
entrant,entering
entre,between
entree,"entrance, starter"
entrer,to enter
entrez,enter (2nd plural)
entrée,"entrance, starter"
enveloppe,envelops
envie,"desire, wish"
envoie,sends
envoyer,to send
epicerie,grocery store
es,"are (2nd singular), fem. plural of être"
escalier,staircase
essais,essays
est,"is, east"
est-ce,is it
et,and
etage,floor/storey
etagere,shelf
etageres,shelves
etait,was
ete,"summer, been"
etendent,extend (3rd plural)
etes,are (2nd plural)
etre,to be
etudiant,student
etudiante,female student
euh,um
euro,euro
euros,euros
eux,them
excellent,excellent
excuser,to excuse
exposes,displayed
exposés,displayed
expresso,espresso
exquis,exquisite
exterieur,outside
extérieur,outside
fac,"university (slang)"
facade,façade
face,facing
facile,easy
faire,to do
fait,"makes, fact"
faites,"do, made (2nd plural)"
faits,"done, made (plural)"
famille,family
fatigue,tired
fatigué,tired
faudrait,"should (conditional)"
faut,"must (il faut)"
fauteuil,armchair
faveur,favour
façade,façade
femme,"woman, wife"
fenetre,window
fenêtre,window
ferme,firm/closed
fermee,closed (fem.)
fermer,to close
fermez,close (imperative)
fermé,closed
fermée,closed (fem.)
fete,"party, holiday"
fetes,parties
feuille,leaf
feuillete,flaky
feuilletes,flaky (plural)
feuilleté,flaky
feuilletés,flaky (plural)
fierement,proudly
fierte,pride
fierté,pride
fille,"girl, daughter"
film,film
fils,son
fin,end
fine,fine (fem.)
finir,to finish
fièrement,proudly
flaner,to stroll
fleur,flower
fleuris,flowered
fleuriste,florist
fleurs,flowers
floral,floral
flotte,floats
flâner,to stroll
fois,"time, occasion"
fond,"bottom, back"
fontaine,fountain
fonte,cast iron
forme,"form, shape"
fort,"strong, loud"
fouet,whisk
fouette,whips
foule,crowd
four,oven
fraiche,fresh (fem.)
fraiches,fresh (plural fem.)
frais,"fresh, cool"
fraise,strawberry
fraises,strawberries
francais,French
francaise,French (fem.)
français,French
française,French (fem.)
fraîche,fresh (fem.)
fraîches,fresh (plural fem.)
frere,brother
froid,cold
fromage,cheese
fromagerie,cheese shop
fruits,fruits
frère,brother
fumant,steaming
fête,"party, holiday"
fêtes,parties
gant,glove
garcon,"boy, waiter"
garde,keeps
gare,station
gars,"guy, fellow"
garçon,"boy, waiter"
gateau,cake
gauche,left
generations,generations
genoux,knees
gens,people
gentil,kind/nice
gentille,kind/nice (fem.)
gentillesse,kindness
gentiment,gently
gerant,manager
glace,"ice, ice cream"
glacé,glazed
glissant,slippery
godard,Godard (filmmaker name)
gourmand,food-loving
gourmandise,indulgence
grand,"big, tall"
grand-mere,grandmother
grand-mère,grandmother
grand-pere,grandfather
grand-père,grandfather
grande,"big, tall (fem.)"
grands,big (plural)
granit,granite
gravier,gravel
greves,strikes
gris,grey
gronde,rumbles
gros,"big, fat"
grèves,strikes
guichet,ticket window
gâteau,cake
générations,generations
gérant,manager
habite,lives (3rd singular)
habiter,to live/reside
habitue,"regular, customer"
habituel,usual
habitues,regulars
habitué,"regular, customer"
habitués,regulars
hatent,hurry (3rd plural)
haussmann,Haussmann
haut,high
haute,high (fem.)
hein,"huh, right?"
heure,"hour, time"
heures,hours
heureux,happy
hier,yesterday
histoire,"story, history"
hiver,winter
homme,man
hopital,hospital
hospitalite,hospitality
hospitalité,hospitality
hote,"host, guest"
hotel,hotel
hui,today (part of aujourd'hui)
huit,eight
humains,humans
hâtent,hurry (3rd plural)
hôpital,hospital
hôte,"host, guest"
hôtel,hotel
ici,here
ideal,ideal
idee,idea
idéal,ideal
idée,idea
il,he/it
ile,island
ils,they (masc.)
immeuble,apartment building
impeccable,impeccable
insiste,insists
insouciance,carefree attitude
installe,settled
installe-toi,settle in (imperative)
installez,settle (imperative)
installé,settled
interieur,inside
intime,intimate
intérieur,inside
invitation,invitation
invite,invites
inviter,to invite
invité,invited/guest
jamais,never
janvier,January
jardin,garden
jaune,yellow
jaunes,yellow (plural)
je,I
jet,"jet, stream"
jeu,game
jeudi,Thursday
jeune,young
joli,pretty
jolie,pretty (fem.)
jonquilles,daffodils
jouent,play (3rd plural)
jouer,to play
jour,day
journal,newspaper
journee,"day (duration)"
journée,"day (duration)"
joyeux,joyful
juillet,July
juin,June
jus,juice
juste,just
la,there
la-bas,over there
laine,wool
laissent,leave (3rd plural)
laisser,to leave
lait,milk
laiton,brass
lampadaire,street lamp
lampe,lamp
langue,"language, tongue"
le,the (masc.)
lecteur,reader
lecture,reading
leger,light (weight)
legume,vegetable
lent,slow
lentement,slowly
les,the (plural)
lettres,letters
leur,their
leurs,their (plural)
levant,raising
leve,raises
lever,to raise/lift
lezard,lizard
librairie,bookshop
libre,free
lieu,place
ligne,line
lilas,lilac
lire,to read
lisant,reading
lisent,read (3rd plural)
lit,bed
livre,"book, pound"
livres,books
loin,far
londres,London
long,long
longue,long (fem.)
lors,during
lourd,heavy
lui,him/her (indirect)
lumiere,light
lumieres,lights
lumière,light
lumières,lights
lundi,Monday
lune,moon
lus,read (past participle plural)
luxe,luxury
luxueux,luxurious
là,there
là-bas,over there
lève,raises
léger,light (weight)
légume,vegetable
lézard,lizard
ma,my (fem.)
madame,madam
mademoiselle,miss
magasin,shop
mai,May
main,hand
mains,hands
maintenant,now
mais,but
maison,house
majestueux,majestic
mal,"badly, evil"
malade,sick
maman,mum/mom
manger,to eat
manier,to handle
manteau,coat
marbre,marble
marchant,walking
marche,market
marcher,"to walk, to work"
marché,market
mardi,Tuesday
mari,husband
massif,flower bed
massifs,flower beds
matin,morning
matins,mornings
mauvais,bad
me,me
medecin,doctor
meilleur,better/best
melanger,to mix
melodie,melody
meme,"same, even"
mene,leads
menu,menu
merci,thank you
mercredi,Wednesday
mere,mother
merveilleux,marvellous
messieurs,gentlemen
metal,metal
meteo,weather (informal)
metres,metres
metro,subway/metro
mets-toi,put yourself (imperative)
mettre,to put
midi,noon
miel,honey
miettes,crumbs
mieux,better
mille,thousand
milliers,thousands
minuit,midnight
minute,minute
modeste,modest
moelleuse,soft (fem.)
moelleux,soft
moi,me
moins,less
mois,month
moment,moment
mon,my (masc.)
monde,world
monsieur,mister
monte,rises
monter,to go up
montre,watch
montrer,to show
mot,word
motif,pattern
mouille,wets
mouilles,wet (plural)
mouillés,wet (plural)
multicolores,multicoloured
mur,wall
murs,walls
musee,museum
musique,music
musée,museum
mène,leads
mère,mother
mètres,metres
médecin,doctor
mélanger,to mix
mélodie,melody
métal,metal
métro,subway/metro
même,"same, even"
narines,nostrils
nationale,national (fem.)
ne,not (part of negation)
neige,snow
neuf,"nine, new"
nez,nose
noir,black
nom,"name, noun"
non,no
nord,north
nord-est,north-east
nos,our (plural)
notre,our
nourriture,food
nous,we/us
nouveau,new
nouvelle,"new (fem.), news"
nuage,cloud
nuages,clouds
nuit,night
numero,number
numéro,number
observer,to watch
occupe,occupies
occupees,occupied (fem.)
occupées,occupied (fem.)
odeur,smell
oeil,eye
offrant,offering
offre,offers
oignon,onion
oiseau,bird
olive,olive
ombrage,shaded
ombragé,shaded
ombre,shade/shadow
on,one/we (informal)
oncle,uncle
ont,have (3rd person plural)
onze,eleven
or,"gold, now (conjunction)"
orage,thunderstorm
orange,orange
osier,wicker
ou,or
ouest,west
oui,yes
ouvert,open
ouverte,open (fem.)
ouvrez,open (imperative plural)
ouvrez-le,open it
ouvrir,to open
où,where
pain,bread
pains,"breads, loaves"
pair,even/equal
panier,basket
paniers,baskets
pantalon,trousers
papa,dad
papier,paper
papote,chats
par,by/through
parapluie,umbrella
parc,park
parfait,perfect
parfois,sometimes
parfum,"perfume, flavour"
parisien,Parisian
parisienne,Parisian (fem.)
parisiennes,Parisian (plural fem.)
parisiens,Parisians
parle,speaks
parlent,speak (3rd plural)
parler,to speak
parlez,speak (imperative plural)
parmi,among
pars,leave (imperative)
parsemes,sprinkled
parsemés,sprinkled
partage,shares
partager,to share
partant,leaving
partir,to leave
partiras,will leave
pas,"not, step"
passant,passing/passer-by
passants,passers-by
passe,passes
passer,to pass
passion,passion
pate,dough
patisserie,pastry shop
patisseries,pastries
patissier,pastry chef
patron,owner/boss
pause,break
pave,cobblestone
paves,cobblestones
pavé,cobblestone
pavés,cobblestones
payer,to pay
pays,country
peche,"peach, fishing"
peint,painted
peintre,painter
peinture,"painting, paint"
pendant,during
pensee,thought
penser,to think
pensée,thought
pere,father
personne,"person, nobody"
perte,loss
petit,small
petit-dejeuner,breakfast
petit-déjeuner,breakfast
petite,small (fem.)
petites,small (plural fem.)
petits,small (plural)
peu,little/few
peuple,people/nation
peur,fear
peut-etre,perhaps
peut-être,perhaps
pharmacie,pharmacy
photo,photo
photos,photos
picorent,peck (3rd plural)
piece,"room, piece, coin"
pied,foot
pierre,"stone, Pierre"
pigeon,pigeon
pigeons,pigeons
pièce,"room, piece, coin"
place,"square, place"
plafond,ceiling
plaisir,pleasure
plait,pleases
plan,plan/map
plante,plant
platane,plane tree
plateau,tray
plaît,pleases
plein,full
pleuvoir,to rain
plie,folded
plié,folded
pluie,rain
plus,more
poche,pocket
poeme,poem
poesie,poetry
point,point
poire,pear
poisson,fish
politesse,politeness
pomme,apple
pont,bridge
porcelaine,porcelain
porte,"door, gate"
porter,to carry/wear
pose,placed
poser,to put/ask
poses,placed (plural)
possible,possible
poste,post/mail
posé,placed
posés,placed (plural)
pour,for
pourquoi,why
poussant,pushing
pouvoir,to be able to
poème,poem
poésie,poetry
precieux,precious
prefere,preferred/favourite
premier,first (masc.)
premiere,first
première,first
prend,takes
prendre,to take
prenez,take (imperative plural)
prenom,first name
prepare,prepares
preparer,to prepare
pres,near
presenter,to introduce
presque,almost
pressee,"rushed (fem.), squeezed"
presses,in a hurry (plural)
pressée,"rushed (fem.), squeezed"
pressés,in a hurry (plural)
pret,ready
prevenir,to warn
prince,prince
printemps,spring
prises,taken (plural fem.)
prix,price
profiter,to enjoy
profond,deep
promeneurs,strollers
promenez-vous,stroll (imperative)
promesse,promise
propose,offers
propre,"clean, own"
proteger,to protect
protéger,to protect
près,near
précieux,precious
préféré,preferred/favourite
prénom,first name
prépare,prepares
préparer,to prepare
présenter,to introduce
prévenir,to warn
prêt,ready
public,public
puis,then
pull,sweater
pâte,dough
pâtisserie,pastry shop
pâtisseries,pastries
pâtissier,pastry chef
père,father
pêche,"peach, fishing"
qu,that (elided)
quand,when
quartier,neighbourhood
quatre,four
que,that
quel,which
quelle,which (fem.)
quelque,some
quelques,a few
qui,who
quoi,what
raconter,to tell
radis,radish
raison,"reason, right"
rale,grumbles
rangeant,arranging
rapide,fast
rayon,"ray, aisle"
recette,recipe
recevoir,to receive
recite,recites
recoit,receives
reconnaitre,to recognise
reconnaître,to recognise
recouvert,covered
regarde,looks
regarder,to watch/look
remercier,to thank
remplace,replaces
remplie,filled (fem.)
rencontrer,to meet
rendez-vous,appointment
rendre,to return/give back
rentrer,to return home
repas,meal
repondre,to answer
repos,rest
rester,to stay
retraite,retirement
retrouver,to meet up
reussi,successful
reve,dream
reveil,alarm clock
reveiller,to wake up
revenir,to come back
rever,to dream
revient,comes back
revoir,to see again
reçoit,receives
riant,laughing
riche,rich
rien,nothing
rire,to laugh
rires,laughs
rive,bank (of river)
riviere,river
rivière,river
riz,rice
robe,dress
roman,novel
romans,novels
rond,round
rondes,round (fem. plural)
rose,"pink, rose"
rosee,dew
rosée,dew
roucoulant,cooing
rouge,red
rouges,red (plural)
rue,street
rues,streets
râle,grumbles
récite,recites
répondre,to answer
réussi,successful
réveil,alarm clock
réveiller,to wake up
rêve,dream
rêver,to dream
sable,sand
sables,shortbread (plural)
sablés,shortbread (plural)
sac,bag
sacre-cœur,Sacred Heart
sacré-cœur,Sacred Heart
sain,healthy
saint,saint/holy
saint-exupery,Saint-Exupéry
saint-exupéry,Saint-Exupéry
sais,know (1st person)
saison,season
salade,salad
salades,salads
sale,salted
salle,room/hall
salon,"living room, salon"
salut,hi
salutation,greeting
salé,salted
samedi,Saturday
sandwichs,sandwiches
sans,without
sante,health
santé,health
sapin,fir tree
sauf,except
savent,know (3rd plural)
savoir,to know
savourer,to savour
savourez,savour (imperative)
scintille,sparkles
scintillent,sparkle (3rd plural)
se,oneself
seaux,buckets
seconde,second
secret,secret
seize,sixteen
sejour,"stay, living room"
sel,salt
semaine,week
sens,"sense, direction"
sent,feels
sentir,to feel
sept,seven
sers,serve (imperative)
sers-toi,help yourself
serveur,waiter
servi,served
service,service
servons,serve (1st plural)
ses,"his, her (plural)"
seul,alone
si,"if, so"
siege,seat
sieste,nap
signe,sign
silence,silence
simple,simple
sirotent,sip (3rd plural)
six,six
siège,seat
soif,thirst
soir,evening
soiree,"evening (duration)"
soirée,"evening (duration)"
sol,"floor, ground"
soleil,sun
sombre,dark
son,his/her/its
sonnent,ring (3rd plural)
sont,are
sortie,exit
sortir,to go out
sortis,gone out (plural)
sou,penny
soudain,suddenly
soudee,united (fem.)
soudée,united (fem.)
soupe,soup
souriant,smiling
sourire,smile
sourit,smiles
sous,under
souvenir,memory/souvenir
souvent,often
special,special
splendide,splendid
spécial,special
square,square (public park)
station,station
studio,studio
sucre,sugar
sud,south
sud-ouest,south-west
suffisant,sufficient
suis,am
supermarche,supermarket
supermarché,supermarket
sur,on
surprise,surprise
surveillent,watch over (3rd plural)
symbole,symbol
sympathique,friendly/nice
synthese,synthesis
synthèse,synthesis
séjour,"stay, living room"
sûr,sure
ta,your (fem.)
table,table
tableau,"picture, board"
tables,tables
tablier,apron
tant,so much
tante,aunt
tapez,type (imperative plural)
tapis,carpet/rug
tapisses,lined (plural)
tapissés,lined (plural)
tapotant,tapping
tard,late
tartes,tarts
tartine,slice of bread
tartinee,spread (fem.)
tartines,slices of bread
tartinée,spread (fem.)
tasse,cup
tasses,cups
te,you
telephone,telephone
temps,"time, weather"
tendre,"tender, to hold out"
tenir,to hold
tentantes,tempting (fem. plural)
terrasse,terrace
terrasses,terraces
tete,head
the,tea
theatre,theatre
thé,tea
théâtre,theatre
ticket,ticket
tiedi,warmed
tiens,"here, take (imperative)"
tient,holds
timbre,stamp
timidement,shyly
tiroir,drawer
titres,titles/headlines
tiédi,warmed
toi,you
toit,roof
toits,roofs
tombe,falls
tomber,to fall
tonnerre,thunder
torchon,cloth
torrefie,roasted
torréfié,roasted
tot,early
toujours,always
tour,"tower, turn"
tous,all
tout,all
toutes,all (fem. plural)
tradition,tradition
traditionnel,traditional
traduire,to translate
train,train
tranche,slice
tranquille,quiet
transactions,transactions
travail,work
travaille,works
travailler,to work
travers,through
traverser,to cross
trempe,soaked
trempé,soaked
trente,thirty
tres,very
tresse,woven
tressé,woven
triste,sad
trois,three
trop,too much
trottoir,sidewalk/pavement
truffaut,Truffaut
très,very
tu,you (singular informal)
tulipes,tulips
typique,typical
typiquement,typically
typiques,typical (plural)
téléphone,telephone
tête,head
tôt,early
un,"a, one"
une,"a, one (fem.)"
unes,some (fem. plural)
universite,university
université,university
ur,on (elided)
use,worn
uses,worn (plural)
usine,factory
usé,worn
usés,worn (plural)
utile,useful
va,goes
vache,cow
vaisselle,dishes
valeur,value
vanille,vanilla
vapeur,steam
varda,Varda (filmmaker)
variete,variety
variété,variety
vaut,is worth
velo,bicycle
velours,velvet
vendeur,seller (male)
vendeuse,seller (female)
vendre,to sell
vendredi,Friday
venir,to come
vent,wind
venu,come (past participle)
ver,worm
verdoyant,green/verdant
verre,glass
vers,"towards, verse"
vert,green
verte,green (fem.)
veste,jacket
vetements,clothes
veux,want (1st person)
viande,meat
vie,life
vieille,old (fem.)
vieilles,old (fem. plural)
vient,comes
vieux,old
ville,"city, town"
vin,wine
vingt,twenty
violets,violet
visage,face
visite,visit
visiter,to visit (place)
visiteur,visitor
vit,lives
vite,quickly
vitre,windowpane
vitrine,shop window
vivant,living
vocabulaire,vocabulary
vocale,vocal (fem.)
voici,here is
voie,"way, track"
voila,there is
voile,veils
voilà,there is
voir,to see
voisin,neighbour (male)
voisine,neighbour (female)
voisins,neighbours
voit,sees
voiture,car
voix,voice
vol,"flight, theft"
voler,"to fly, to steal"
vos,your (plural)
votre,your
voudrait,would like
voulez-vous,do you want
vouloir,to want
vous,you (formal/plural)
voyage,journey
voyager,to travel
voyages,travels
voyez,see (2nd plural)
vrai,true
vraie,true (fem.)
vraiment,really
vu,seen
vue,"view, seen (fem.)"
vélo,bicycle
vêtements,clothes
word,translation
y,there
yeux,eyes
zero,zero
zinc,zinc
zéro,zero
ça,that
écharpe,scarf
éclair,"éclair, lightning"
éclaire,lights up
éclairs,éclairs
éclatent,burst (3rd plural)
école,school
écoute,listens
écouter,to listen
écrire,to write
église,church
élégant,elegant
élégante,elegant (fem.)
épicerie,grocery store
étage,floor/storey
étagère,shelf
étagères,shelves
était,was
étendent,extend (3rd plural)
étudiant,student
étudiante,female student
été,"summer, been"
êtes,are (2nd plural)
être,to be
île,island
œuf,egg
